,projectID,tankID,StartingFiles,PrepFiles,DepthFiles,ClusterFiles,3DClassifyFiles,Notes
1,_newtray_CV1,t063,TRUE,TRUE,TRUE,FALSE,TRUE,
2,_newtray_CV1_2,t003,TRUE,TRUE,FALSE,FALSE,FALSE,No build
3,_newtray_CV2_1_Tk47_122019,t047,TRUE,TRUE,FALSE,FALSE,FALSE,Good pit
4,_newtray_CV3_1_Tk51_122019,t051,TRUE,TRUE,FALSE,FALSE,FALSE,
5,_newtray_CV4_1_Tk63_122019,t063,TRUE,TRUE,FALSE,FALSE,FALSE,
6,_newtray_CV5_1_Tk47_011020,t047,TRUE,TRUE,FALSE,FALSE,FALSE,
7,_newtray_CV6_1_Tk51_011020,t051,TRUE,TRUE,FALSE,FALSE,FALSE,
8,_newtray_CV7_1_Tk63_011020,t063,TRUE,TRUE,FALSE,FALSE,FALSE,
9,_newtray_MC1,t061,TRUE,TRUE,FALSE,FALSE,FALSE,
10,_newtray_MC2,t033,TRUE,TRUE,FALSE,FALSE,FALSE,
11,_newtray_MC2_2,t033,TRUE,TRUE,FALSE,FALSE,FALSE,
12,_newtray_MC3,t065,TRUE,TRUE,FALSE,FALSE,FALSE,
13,_newtray_MC3_2,t065,TRUE,TRUE,FALSE,FALSE,FALSE,
14,_newtray_MC3_3_Tk33_121919,t033,TRUE,TRUE,FALSE,FALSE,FALSE,
15,_newtray_MC4_1_Tk65_121919,t065,TRUE,TRUE,FALSE,FALSE,FALSE,
16,_newtray_MC5_1_Tk33_011020,t033,TRUE,TRUE,FALSE,FALSE,FALSE,
17,_newtray_MC6_1_Tk65_011020,t065,TRUE,TRUE,FALSE,FALSE,FALSE,
18,_newtray_MCxCVF1_1,t021,TRUE,TRUE,FALSE,FALSE,FALSE,
19,_newtray_MCxCVF1_1_2,t021,TRUE,TRUE,TRUE,FALSE,TRUE,
20,_newtray_MCxCVF1_2_1_Tk21_122019,t021,TRUE,TRUE,TRUE,FALSE,TRUE,
21,_newtray_MCxCVF1_2_2_Tk21_011020,t021,FALSE,TRUE,FALSE,FALSE,FALSE,
22,_newtray_MCxCVF1_2_2_Tk21_011520_cas_reset,t021,TRUE,TRUE,TRUE,FALSE,TRUE,
23,_newtray_MCxCVF1_2_3_Tk21_012720,t021,TRUE,TRUE,TRUE,FALSE,TRUE,
24,_newtray_MCxCVF1_3_1_Tk3_121919,t003,TRUE,TRUE,TRUE,FALSE,TRUE,
25,_newtray_MCxCVF1_3_2_Tk3_011020,t003,TRUE,TRUE,FALSE,FALSE,FALSE,
26,_newtray_MCxCVF1_3_3_Tk3_012720,t003,TRUE,TRUE,FALSE,FALSE,FALSE,
27,_newtray_MCxCVF2_1,t065,TRUE,TRUE,TRUE,FALSE,TRUE,
28,_newtray_MCxCVF2_10_1,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
29,_newtray_MCxCVF2_10_2,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
30,_newtray_MCxCVF2_11_1,t065,TRUE,TRUE,TRUE,FALSE,TRUE,
31,_newtray_MCxCVF2_11_2,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
32,_newtray_MCxCVF2_12_1,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
33,_newtray_MCxCVF2_13_1,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
34,_newtray_MCxCVF2_13_2,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
35,_newtray_MCxCVF2_14_1,t063,TRUE,TRUE,TRUE,FALSE,TRUE,
36,_newtray_MCxCVF2_15_1,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
37,_newtray_MCxCVF2_15_2,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
38,_newtray_MCxCVF2_15_3,t063,TRUE,TRUE,TRUE,FALSE,TRUE,
39,_newtray_MCxCVF2_15_4,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
40,_newtray_MCxCVF2_15_5_050519,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
41,_newtray_MCxCVF2_15_6_051919,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
42,_newtray_MCxCVF2_16_1,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
43,_newtray_MCxCVF2_16_2,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
44,_newtray_MCxCVF2_16_3,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
45,_newtray_MCxCVF2_16_4,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
46,_newtray_MCxCVF2_17_1,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
47,_newtray_MCxCVF2_17_2,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
48,_newtray_MCxCVF2_17_3,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
49,_newtray_MCxCVF2_17_4,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
50,_newtray_MCxCVF2_18_1,t063,TRUE,TRUE,TRUE,FALSE,TRUE,
51,_newtray_MCxCVF2_18_2,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
52,_newtray_MCxCVF2_18_3,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
53,_newtray_MCxCVF2_18_4,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
54,_newtray_MCxCVF2_19_1,t041,FALSE,TRUE,TRUE,FALSE,FALSE,
55,_newtray_MCxCVF2_19_3,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
56,_newtray_MCxCVF2_19_4_050519,t063,TRUE,TRUE,TRUE,FALSE,TRUE,
57,_newtray_MCxCVF2_19_5_051919,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
58,_newtray_MCxCVF2_19_6_060219_Tk33,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
59,_newtray_MCxCVF2_20_1_050519,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
60,_newtray_MCxCVF2_20_2_051919,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
61,_newtray_MCxCVF2_20_3_060219_Tk63,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
62,_newtray_MCxCVF2_20_4_061719_Tk53,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
63,_newtray_MCxCVF2_20_5_070119_Tk63,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
64,_newtray_MCxCVF2_20_6_071719_Tk53,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
65,_newtray_MCxCVF2_21_1_050519,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
66,_newtray_MCxCVF2_21_2_051919,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
67,_newtray_MCxCVF2_21_3_060219_Tk53,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
68,_newtray_MCxCVF2_21_4_061719_Tk43,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
69,_newtray_MCxCVF2_22_1_050519,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
70,_newtray_MCxCVF2_22_2_051919,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
71,_newtray_MCxCVF2_22_3_060219_Tk43,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
72,_newtray_MCxCVF2_22_4_061719_Tk33,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
73,_newtray_MCxCVF2_22_5_070119_Tk53,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
74,_newtray_MCxCVF2_23_1_060219_Tk41,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
75,_newtray_MCxCVF2_23_2_061719_Tk63,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
76,_newtray_MCxCVF2_23_3_070119_Tk41_to_be_restored_contains_bad_data,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
77,_newtray_MCxCVF2_24_1_061719_Tk41,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
78,_newtray_MCxCVF2_24_2_070119_Tk33,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
79,_newtray_MCxCVF2_24_3_071719_Tk63,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
80,_newtray_MCxCVF2_25_1_070119_Tk43,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
81,_newtray_MCxCVF2_25_2_071719_Tk33,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
82,_newtray_MCxCVF2_26_1_071719_Tk41,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
83,_newtray_MCxCVF2_27_1,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
85,_newtray_MCxCVF2_29_1,t053,TRUE,TRUE,TRUE,FALSE,TRUE,
86,_newtray_MCxCVF2_29_2,t033,FALSE,TRUE,FALSE,FALSE,FALSE,
87,_newtray_MCxCVF2_29_3,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
88,_newtray_MCxCVF2_29_4,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
89,_newtray_MCxCVF2_2_1,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
90,_newtray_MCxCVF2_2_2,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
91,_newtray_MCxCVF2_30_1,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
92,_newtray_MCxCVF2_30_2,t053,FALSE,TRUE,FALSE,FALSE,FALSE,
93,_newtray_MCxCVF2_30_3,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
94,_newtray_MCxCVF2_31_1,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
95,_newtray_MCxCVF2_31_2,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
96,_newtray_MCxCVF2_32_1,t063,FALSE,TRUE,FALSE,FALSE,FALSE,
97,_newtray_MCxCVF2_32_2,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
98,_newtray_MCxCVF2_32_3,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
99,_newtray_MCxCVF2_33_1,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
100,_newtray_MCxCVF2_33_2,t063,TRUE,TRUE,TRUE,FALSE,FALSE,
101,_newtray_MCxCVF2_34_1,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
102,_newtray_MCxCVF2_35_1,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
103,_newtray_MCxCVF2_36_1,t053,TRUE,TRUE,TRUE,FALSE,FALSE,
104,_newtray_MCxCVF2_36_2,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
105,_newtray_MCxCVF2_3_1,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
106,_newtray_MCxCVF2_3_2,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
107,_newtray_MCxCVF2_4_1,t065,TRUE,TRUE,TRUE,FALSE,FALSE,
108,_newtray_MCxCVF2_4_2,t065,TRUE,TRUE,TRUE,FALSE,FALSE,
109,_newtray_MCxCVF2_5_1,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
110,_newtray_MCxCVF2_6_1,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
111,_newtray_MCxCVF2_7_1,t065,TRUE,TRUE,TRUE,FALSE,FALSE,
112,_newtray_MCxCVF2_7_2,t033,TRUE,TRUE,TRUE,FALSE,TRUE,
113,_newtray_MCxCVF2_8_1,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
114,_newtray_MCxCVF2_9_1,t065,TRUE,TRUE,TRUE,FALSE,FALSE,
115,_newtray_MCxCVF2_9_2,t033,TRUE,TRUE,TRUE,FALSE,FALSE,
116,_newtray_MZ1_1_Tk47_012720,t047,TRUE,TRUE,FALSE,FALSE,FALSE,
117,_newtray_MZ2_1_Tk51_012720,t051,TRUE,TRUE,FALSE,FALSE,FALSE,
118,_newtray_TI10_1_Tk53_011020,t053,TRUE,TRUE,FALSE,FALSE,FALSE,
119,_newtray_TI11_1_Tk1_012720,t001,TRUE,TRUE,FALSE,FALSE,FALSE,
120,_newtray_TI12_1_Tk31_012720,t031,TRUE,TRUE,FALSE,FALSE,FALSE,
121,_newtray_TI1_2,t001,TRUE,TRUE,FALSE,FALSE,FALSE,
122,_newtray_TI1_3_Tk31_121919,t031,TRUE,TRUE,FALSE,FALSE,FALSE,
123,_newtray_TI2,t031,TRUE,TRUE,FALSE,FALSE,FALSE,
124,_newtray_TI3,t053,TRUE,TRUE,FALSE,FALSE,FALSE,
125,_newtray_TI3_2,t031,TRUE,TRUE,FALSE,FALSE,FALSE,
126,_newtray_TI4_1,t053,TRUE,TRUE,FALSE,FALSE,FALSE,
127,_newtray_TI5_1_Tk1_121919,t001,TRUE,TRUE,FALSE,FALSE,FALSE,
128,_newtray_TI7_1_Tk53_121919,t053,TRUE,TRUE,FALSE,FALSE,FALSE,
129,_newtray_TI8_1_Tk1_011020,t001,TRUE,TRUE,FALSE,FALSE,FALSE,
130,_newtray_TI9_2_Tk31_011020,t031,TRUE,TRUE,FALSE,FALSE,FALSE,
159,_newtray_TIxMCF2_1,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
160,_newtray_TIxMCF2_10_1,t041,TRUE,TRUE,TRUE,FALSE,TRUE,
161,_newtray_TIxMCF2_11_1,t009,TRUE,TRUE,TRUE,FALSE,TRUE,
162,_newtray_TIxMCF2_12_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
163,_newtray_TIxMCF2_13_1,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
164,_newtray_TIxMCF2_13_2,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
165,_newtray_TIxMCF2_14_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
166,_newtray_TIxMCF2_15_1,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
167,_newtray_TIxMCF2_16_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
168,_newtray_TIxMCF2_17_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
169,_newtray_TIxMCF2_17_2,t017,FALSE,TRUE,TRUE,FALSE,FALSE,
170,_newtray_TIxMCF2_17_3,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
171,_newtray_TIxMCF2_17_4,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
172,_newtray_TIxMCF2_18_1,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
173,_newtray_TIxMCF2_19_1,t009,FALSE,TRUE,TRUE,FALSE,FALSE,
174,_newtray_TIxMCF2_19_2,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
175,_newtray_TIxMCF2_19_3,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
176,_newtray_TIxMCF2_20_1,t061,TRUE,TRUE,TRUE,FALSE,TRUE,
177,_newtray_TIxMCF2_20_2,t061,TRUE,TRUE,TRUE,FALSE,TRUE,
178,_newtray_TIxMCF2_20_3,t009,TRUE,TRUE,TRUE,FALSE,TRUE,
179,_newtray_TIxMCF2_21_1_050519,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
180,_newtray_TIxMCF2_21_2_051919,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
181,_newtray_TIxMCF2_21_3_060219_Tk9,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
182,_newtray_TIxMCF2_21_4_061719_Tk17,t017,TRUE,TRUE,TRUE,FALSE,TRUE,
183,_newtray_TIxMCF2_22_1_050519,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
184,_newtray_TIxMCF2_22_2_051919,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
185,_newtray_TIxMCF2_22_3_060219_Tk61,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
186,_newtray_TIxMCF2_22_4_061719_Tk9,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
187,_newtray_TIxMCF2_22_5_070119_Tk61,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
188,_newtray_TIxMCF2_23_1_050519,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
189,_newtray_TIxMCF2_23_2_051919,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
190,_newtray_TIxMCF2_23_3_060219_Tk17,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
191,_newtray_TIxMCF2_23_4_061719_Tk61,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
192,_newtray_TIxMCF2_24_1_070119_Tk9,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
193,_newtray_TIxMCF2_24_2_071719_Tk17,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
194,_newtray_TIxMCF2_24_3,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
195,_newtray_TIxMCF2_24_4,t017,FALSE,TRUE,FALSE,FALSE,FALSE,
196,_newtray_TIxMCF2_24_5,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
197,_newtray_TIxMCF2_25_1_070119_Tk17,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
198,_newtray_TIxMCF2_25_2_071719_Tk9,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
199,_newtray_TIxMCF2_25_3,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
200,_newtray_TIxMCF2_25_4,t009,FALSE,TRUE,FALSE,FALSE,FALSE,
201,_newtray_TIxMCF2_25_5,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
202,_newtray_TIxMCF2_26_1_071719_Tk43,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
203,_newtray_TIxMCF2_26_2,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
204,_newtray_TIxMCF2_26_3,t043,FALSE,TRUE,FALSE,FALSE,FALSE,
205,_newtray_TIxMCF2_26_4,t043,TRUE,TRUE,TRUE,FALSE,TRUE,
206,_newtray_TIxMCF2_27_1_071719_Tk61,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
207,_newtray_TIxMCF2_27_2,t009,TRUE,TRUE,TRUE,FALSE,TRUE,
208,_newtray_TIxMCF2_27_3,t061,FALSE,TRUE,FALSE,FALSE,FALSE,
209,_newtray_TIxMCF2_27_4,t061,TRUE,TRUE,TRUE,FALSE,TRUE,
210,_newtray_TIxMCF2_28_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
211,_newtray_TIxMCF2_28_2,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
212,_newtray_TIxMCF2_28_3,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
213,_newtray_TIxMCF2_29_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
214,_newtray_TIxMCF2_2_2,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
215,_newtray_TIxMCF2_2_3,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
216,_newtray_TIxMCF2_30_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
217,_newtray_TIxMCF2_30_3,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
218,_newtray_TIxMCF2_32_1,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
219,_newtray_TIxMCF2_33_1,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
220,_newtray_TIxMCF2_34_1,t061,TRUE,TRUE,TRUE,FALSE,FALSE,
221,_newtray_TIxMCF2_34_2,t043,TRUE,TRUE,TRUE,FALSE,FALSE,
222,_newtray_TIxMCF2_3_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
223,_newtray_TIxMCF2_3_2,t009,TRUE,TRUE,TRUE,FALSE,TRUE,
224,_newtray_TIxMCF2_4_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
225,_newtray_TIxMCF2_4_2,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
226,_newtray_TIxMCF2_5_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
227,_newtray_TIxMCF2_6_1,t017,TRUE,TRUE,TRUE,FALSE,FALSE,
228,_newtray_TIxMCF2_7_1,t041,TRUE,TRUE,TRUE,FALSE,FALSE,
229,_newtray_TIxMCF2_8_1,t009,TRUE,TRUE,TRUE,FALSE,FALSE,
230,_newtray_TIxMCF2_9_1,t017,TRUE,TRUE,TRUE,FALSE,TRUE,